Created on 05-14-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2018-02-28,ETHBTC,0.08234,0.08778,0.08,0.08262,107557.4,8822.52
2018-02-27,ETHBTC,0.08406,0.08589,0.08167,0.08234,101019.02,8398.2
2018-02-26,ETHBTC,0.08786,0.0898,0.0835,0.08406,109407.36,9515.07
2018-02-25,ETHBTC,0.08604,0.0886,0.08589,0.08786,72539.8,6328.04
2018-02-24,ETHBTC,0.08413,0.0866,0.081,0.08604,70450.9,5965.07
2018-02-23,ETHBTC,0.08164,0.08634,0.08159,0.08413,112134.02,9456.72
2018-02-22,ETHBTC,0.08012,0.08186,0.07953,0.08164,83551.36,6734.07
2018-02-21,ETHBTC,0.07882,0.0815,0.0781,0.08012,109125.47,8745.1
2018-02-20,ETHBTC,0.08416,0.08427,0.07083,0.07882,113269.28,9165.85
2018-02-19,ETHBTC,0.0877,0.0886,0.0834,0.08416,95769.77,8270.05
2018-02-18,ETHBTC,0.08782,0.08939,0.08613,0.0877,120350.61,10561.79
2018-02-17,ETHBTC,0.09236,0.09302,0.08766,0.08782,115596.92,10417.76
2018-02-16,ETHBTC,0.0924,0.0945,0.09134,0.09236,118614.64,11018.95
2018-02-15,ETHBTC,0.09725,0.09739,0.0911,0.0924,144063.05,13607.93
2018-02-14,ETHBTC,0.09855,0.0987,0.096,0.09721,128473.23,12546.19
2018-02-13,ETHBTC,0.09737,0.0988,0.09691,0.09855,104875.19,10269.51
2018-02-12,ETHBTC,0.1004,0.1006,0.097,0.09737,109541.56,10851.7
2018-02-11,ETHBTC,0.09968,0.101,0.0993,0.1004,118976.8,11934.92
2018-02-10,ETHBTC,0.101,0.1011,0.0992,0.09968,136250.02,13663.92
2018-02-09,ETHBTC,0.1003,0.1016,0.09913,0.101,67250.46,6774.54
2018-02-08,ETHBTC,0.09936,0.1007,0.09885,0.1003,2776.64,277.07
2018-02-07,ETHBTC,0.1019,0.1026,0.09904,0.09936,98137.03,9883.09
2018-02-06,ETHBTC,0.1008,0.1023,0.09443,0.1019,203147.22,20091.4
2018-02-05,ETHBTC,0.1009,0.1037,0.09563,0.1008,157073.8,15750.79
2018-02-04,ETHBTC,0.1055,0.106,0.09875,0.1009,114996.48,11825.26
2018-02-03,ETHBTC,0.1039,0.1075,0.103,0.1055,112259.63,11821.03
2018-02-02,ETHBTC,0.1132,0.115,0.09688,0.1039,227513.64,24161.68
2018-02-01,ETHBTC,0.1095,0.1238,0.1093,0.1132,213996.65,24700.25
2018-01-31,ETHBTC,0.1061,0.1109,0.1056,0.1095,94890.35,10272.47
2018-01-30,ETHBTC,0.1045,0.108,0.1031,0.1061,123635.59,13100.82
2018-01-29,ETHBTC,0.1052,0.106,0.1033,0.1045,122452.51,12841.8
2018-01-28,ETHBTC,0.09734,0.1056,0.0971,0.1052,170412.83,17356.88
2018-01-27,ETHBTC,0.09483,0.098,0.0945,0.09734,128399.14,12318.21
2018-01-26,ETHBTC,0.09429,0.09693,0.09266,0.09483,166148.64,15766.54
2018-01-25,ETHBTC,0.09341,0.09542,0.093,0.09429,120709.14,11386.86
2018-01-24,ETHBTC,0.09094,0.09423,0.09034,0.09349,198215.59,18191.33
2018-01-23,ETHBTC,0.09219,0.0928,0.08928,0.09094,188165.19,17190.23
2018-01-22,ETHBTC,0.091,0.09299,0.09052,0.09219,192205.54,17661.08
2018-01-21,ETHBTC,0.09017,0.0926,0.0892,0.091,167079.28,15159.81
2018-01-20,ETHBTC,0.09008,0.09126,0.0879,0.09017,200601.24,17982.98
2018-01-19,ETHBTC,0.09062,0.093,0.09,0.09006,220588.16,20070.75
2018-01-18,ETHBTC,0.09122,0.093,0.08794,0.09062,301232.37,27218.78
2018-01-17,ETHBTC,0.09186,0.09378,0.08346,0.09122,342869.19,30354.2
2018-01-16,ETHBTC,0.09412,0.09576,0.082,0.09186,301626.99,27562.24
2018-01-15,ETHBTC,0.09986,0.1012,0.0895,0.09412,229427.52,21927.8
2018-01-14,ETHBTC,0.09762,0.1,0.09555,0.09986,226701.33,22188.72
2018-01-13,ETHBTC,0.09132,0.1005,0.08985,0.09762,321077.07,30385.93
2018-01-12,ETHBTC,0.08597,0.09202,0.085,0.09132,182417.5,16303.39
2018-01-11,ETHBTC,0.08388,0.09222,0.08299,0.08597,327364.16,29017.87
2018-01-10,ETHBTC,0.08983,0.1008,0.08282,0.08388,400830.99,37466.77
2018-01-09,ETHBTC,0.07601,0.093,0.07596,0.08983,351689.83,28908.78
2018-01-08,ETHBTC,0.06931,0.0792,0.069,0.07601,336348.9,25057.83
2018-01-07,ETHBTC,0.05882,0.06981,0.05869,0.06931,198484.82,12933.64
2018-01-06,ETHBTC,0.05658,0.063,0.05555,0.05882,285794.02,16986.27
2018-01-05,ETHBTC,0.06224,0.0697,0.054,0.05658,564905.36,35256.86
2018-01-04,ETHBTC,0.0626,0.07,0.06012,0.0622,540750.78,34916.73
2018-01-03,ETHBTC,0.05826,0.06421,0.05645,0.0626,437713.91,25925.79
2018-01-02,ETHBTC,0.05637,0.06627,0.05104,0.05826,432449.04,26420.78
2018-01-01,ETHBTC,0.05359,0.0572,0.0534,0.05637,297185.5,16554.29
2017-12-31,ETHBTC,0.05513,0.05545,0.05231,0.05359,302674.49,16354.74
2017-12-30,ETHBTC,0.05102,0.0553,0.05,0.05513,360395.74,19157.85
2017-12-29,ETHBTC,0.04985,0.052,0.0495,0.05102,283143.05,14368.83
2017-12-28,ETHBTC,0.0478,0.0517,0.04758,0.04985,246660.09,12182.86
2017-12-27,ETHBTC,0.04781,0.049,0.0463,0.0478,222254.15,10632.85
2017-12-26,ETHBTC,0.05215,0.0538,0.04628,0.0478,259779.21,12757.57
2017-12-25,ETHBTC,0.04879,0.055,0.0487,0.05215,262098.74,13608.3
2017-12-24,ETHBTC,0.04814,0.04925,0.0477,0.04879,242520.61,11739.22
2017-12-23,ETHBTC,0.04761,0.04902,0.0475,0.04816,270308.96,13062.87
2017-12-22,ETHBTC,0.05063,0.05149,0.04534,0.04761,348732.95,16904.0
2017-12-21,ETHBTC,0.04827,0.0517,0.0476,0.05063,316101.38,15714.38
2017-12-20,ETHBTC,0.04621,0.049,0.044,0.04827,297609.81,13961.23
2017-12-19,ETHBTC,0.04157,0.047,0.04096,0.04621,301189.88,13527.88
2017-12-18,ETHBTC,0.03745,0.04311,0.037,0.04157,302948.18,11856.36
2017-12-17,ETHBTC,0.03556,0.03861,0.03553,0.03745,233532.53,8634.61
2017-12-16,ETHBTC,0.03858,0.0409,0.0348,0.03556,223547.52,8442.74
2017-12-15,ETHBTC,0.04155,0.04166,0.0335,0.03858,231577.81,8721.42
2017-12-14,ETHBTC,0.04281,0.0465,0.0396,0.04155,290675.79,12536.21
2017-12-13,ETHBTC,0.038,0.04424,0.03605,0.04281,233540.15,9357.06
2017-12-12,ETHBTC,0.0307,0.04,0.02977,0.038,323182.75,11027.89
2017-12-11,ETHBTC,0.02869,0.0312,0.02675,0.0307,156402.03,4426.26
2017-12-10,ETHBTC,0.03131,0.0329,0.02789,0.02869,141735.7,4354.51
2017-12-09,ETHBTC,0.02786,0.0349,0.02725,0.03131,164039.37,5146.67
2017-12-08,ETHBTC,0.02457,0.032,0.02312,0.02786,174236.4,4820.88
2017-12-07,ETHBTC,0.0304,0.03206,0.02425,0.02457,180134.54,5062.5
2017-12-06,ETHBTC,0.03876,0.03886,0.02941,0.0304,188592.12,6530.53
2017-12-05,ETHBTC,0.04018,0.04037,0.03831,0.03876,140941.65,5544.92
2017-12-04,ETHBTC,0.04114,0.04131,0.04007,0.04018,96170.51,3904.42
2017-12-03,ETHBTC,0.04198,0.04237,0.04042,0.04114,86219.39,3566.74
2017-12-02,ETHBTC,0.0424,0.0427,0.0416,0.04198,87070.22,3667.95
2017-12-01,ETHBTC,0.04365,0.04433,0.04228,0.0424,80683.81,3496.45
2017-11-30,ETHBTC,0.04341,0.0446,0.0425,0.04365,124432.07,5419.02
2017-11-29,ETHBTC,0.04704,0.04789,0.04294,0.04341,171220.19,7735.09
2017-11-28,ETHBTC,0.0489,0.04948,0.04614,0.04704,103300.07,4936.42
2017-11-27,ETHBTC,0.0507,0.0512,0.04841,0.0489,99202.77,4917.2
2017-11-26,ETHBTC,0.05275,0.05291,0.0478,0.0507,103245.41,5230.64
2017-11-25,ETHBTC,0.05765,0.0594,0.05275,0.05275,100980.37,5609.71
2017-11-24,ETHBTC,0.05075,0.0585,0.04785,0.05765,137732.71,7256.7
2017-11-23,ETHBTC,0.04635,0.05236,0.04575,0.05075,150384.06,7325.58
2017-11-22,ETHBTC,0.04467,0.04677,0.0441,0.04635,118085.07,5285.51
